sourcePort,destinationPort,protocolName,IPgeo,IP Region,deviceId,event_category,categoryDescription,eventDescription,relevance,credibility,severity,magnitude,Event_DateTime,eventCount,IP
52217,2000,tcp_ip,,,31410,5010,Misc Exploit,Unrecognized Palo Alto PA Series Vulnerability Exploit Threat Event,8,10,9,9,"Mar 14, 2019, 8:26:53 PM",1,10.128.2.1
51405,80,tcp_ip,,,31410,7024,Information Leak,A directory traversal vulnerability has been discovered in parsing malformed HTTP requests. This vulnerability is due to a lack of proper checks in HTTP URI requests. A successful attack could result in access to sensitive information that could further aid in other attacks.,8,10,1,6,"Mar 14, 2019, 8:26:53 PM",1,10.128.2.1
36002,445,tcp_ip,,,31410,7024,Information Leak,This alert indicates an attempt to read a windows registry remotely has been detected.,8,10,1,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
35074,445,tcp_ip,,,31410,7024,Information Leak,This alert indicates an attempt to read a windows registry remotely has been detected.,8,10,1,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
55631,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",66,10.130.2.1
55991,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",39,10.130.2.1
49792,80,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",9,10.128.2.1
64121,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",4,10.131.2.1
51662,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",3,10.131.2.1
50545,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",2,10.131.2.1
65255,80,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",1,10.131.2.1
65025,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.130.2.1
64920,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.130.2.1
64680,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:50 PM",1,10.130.2.1
64674,80,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.130.2.1
64672,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.129.2.1
64670,80,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.131.0.1
64668,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.0.1
64576,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.130.2.1
64533,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.131.2.1
64382,443,tcp_ip,United States,R1,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.131.2.1
64120,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.128.2.1
63991,443,tcp_ip,United States,R1,31175,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 5:26:55 PM",1,10.131.0.1
63990,443,tcp_ip,United States,R1,31175,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 5:26:55 PM",1,10.128.2.1
63989,443,tcp_ip,United States,R1,31175,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 5:26:56 PM",1,10.131.0.1
