IP,Time,URL,Staus
10.128.2.1,29/Nov/2017:06:58:55,GET /login.php HTTP/1.1,200
10.128.2.1,29/Nov/2017:06:59:02,POST /process.php HTTP/1.1,302
10.128.2.1,29/Nov/2017:06:59:03,GET /home.php HTTP/1.1,200
10.131.2.1,29/Nov/2017:06:59:04,GET /js/vendor/moment.min.js HTTP/1.1,200
10.130.2.1,29/Nov/2017:06:59:06,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.130.2.1,29/Nov/2017:06:59:19,GET /profile.php?user=bala HTTP/1.1,200
10.128.2.1,29/Nov/2017:06:59:19,GET /js/jquery.min.js HTTP/1.1,200
10.131.2.1,29/Nov/2017:06:59:19,GET /js/chart.min.js HTTP/1.1,200
10.131.2.1,29/Nov/2017:06:59:30,GET /edit.php?name=bala HTTP/1.1,200
10.131.2.1,29/Nov/2017:06:59:37,GET /logout.php HTTP/1.1,302
10.131.2.1,29/Nov/2017:06:59:37,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017:07:00:19,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017:07:00:21,GET /login.php HTTP/1.1,200
10.130.2.1,29/Nov/2017:13:31:27,GET / HTTP/1.1,302
10.130.2.1,29/Nov/2017:13:31:28,GET /login.php HTTP/1.1,200
10.129.2.1,29/Nov/2017:13:38:03,POST /process.php HTTP/1.1,302
10.131.0.1,29/Nov/2017:13:38:04,GET /home.php HTTP/1.1,200
10.131.0.1,29/Nov/2017:13:38:07,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,29/Nov/2017:13:38:19,GET / HTTP/1.1,302
10.131.2.1,29/Nov/2017:13:38:20,GET /login.php HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:38:20,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:38:20,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,29/Nov/2017:13:38:20,GET /css/normalize.css HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:38:20,GET /css/style.css HTTP/1.1,200
10.131.0.1,29/Nov/2017:13:38:20,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.129.2.1,29/Nov/2017:13:38:20,GET /css/main.css HTTP/1.1,200
10.131.0.1,29/Nov/2017:13:38:21,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:38:21,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:38:23,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:46:46,GET / HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:46:50,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:46:53,GET /logout.php HTTP/1.1,302
10.131.2.1,29/Nov/2017:13:46:54,GET /login.php HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:47:04,POST /process.php HTTP/1.1,302
10.131.2.1,29/Nov/2017:13:47:05,GET /login.php?value=fail HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:47:16,POST /process.php HTTP/1.1,302
10.131.2.1,29/Nov/2017:13:47:16,GET /home.php HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:47:19,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.130.2.1,29/Nov/2017:13:47:20,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.129.2.1,29/Nov/2017:13:49:25,GET /details.php?id=44 HTTP/1.1,302
10.128.2.1,29/Nov/2017:13:49:26,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:49:32,GET /home.php HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:49:34,GET /compiler.php HTTP/1.1,200
10.128.2.1,29/Nov/2017:13:49:37,GET /compiler.php HTTP/1.1,200
10.131.2.1,29/Nov/2017:13:51:40,GET /logout.php HTTP/1.1,302
